[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.609 s -- in com.platform.iot.collection.api.CollectionPolicyApiContractTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.224 s -- in com.platform.iot.collection.CollectionPolicyAtomicityIntegrationTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.567 s -- in com.platform.iot.collection.CollectionPolicyAuditRollbackTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.609 s -- in com.platform.iot.collection.CollectionPolicyServiceIntegrationTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.303 s -- in com.platform.iot.collection.runtime.CollectionRuntimeStateServiceTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.247 s -- in com.platform.iot.dataquality.DataQualityConditionalConfigurationTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.116 s -- in com.platform.iot.dataquality.DataQualityFillTaskServiceTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.338 s -- in com.platform.iot.dataquality.DataQualityRecalculationJobServiceTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.246 s -- in com.platform.iot.dataquality.DataQualityRecalculationPerformanceContractTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.367 s -- in com.platform.iot.dataquality.DataQualityRecalculationSchedulerTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.057 s -- in com.platform.iot.dataquality.DataQualityRecalculationSchedulingIntegrationTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.237 s -- in com.platform.iot.dataquality.DataQualityRecalculationServiceTest
[INFO] Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.182 s -- in com.platform.iot.dataquality.DataQualityRecoveryServiceTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in com.platform.iot.dataquality.DataQualitySchemaTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.021 s -- in com.platform.iot.dataquality.FillTaskEvidenceCodecTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.015 s -- in com.platform.iot.dataquality.FillTaskIdempotencyTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in com.platform.iot.dataquality.FillTaskReconciliationServiceTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in com.platform.iot.dataquality.HvacMinuteQualityCompletionServiceTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.070 s -- in com.platform.iot.dataquality.InterpolationFillServiceTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.260 s -- in com.platform.iot.dataquality.LateRealMinuteCorrectionServiceTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in com.platform.iot.dataquality.LinearMinuteInterpolatorTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.042 s -- in com.platform.iot.dataquality.ManualQualitySelectionServiceTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.156 s -- in com.platform.iot.dataquality.MySqlFillTaskRepositoryTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in com.platform.iot.dataquality.MySqlRecalculationJobRepositoryTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.115 s -- in com.platform.iot.dataquality.MySqlTypicalValueConfigProviderTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.070 s -- in com.platform.iot.dataquality.RecalculationJobClaimSqlIntegrationTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in com.platform.iot.dataquality.RecalculationJobIdempotencyTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in com.platform.iot.dataquality.RecalculationVoidServiceTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in com.platform.iot.dataquality.TypicalValueConfigServiceTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.030 s -- in com.platform.iot.dataquality.TypicalValueFillServiceTest
